Sample ID,INROW,ROWNO,REP,Date (wat),N,P,K,S,CA,MG,ZN,FE,MN,CU,B,NA,AL,MO,Treatment,In-row spacing ,No of rows,Repetition,Weeks after transplant ,Date ,plant 1,plant 2,plant 3,plant 4,plant 5,yield
1,2,1,A,4,4.79,0.53,5.7,0.36,2.605,0.627,59,85,102,100.2,30,0.03,51,1.12,1,2,1,a,4 weeks,9-Aug-21,18.2,19.7,20.6,23.1,19,42.8
2,1.5,1,A,4,4.21,0.36,5.72,0.25,2.792,0.773,49,67,179,128,27,0.05,20,0.7,2,1.5,1,a,4 weeks,9-Aug-21,23.5,23.1,20.9,24.4,27.1,47.5
3,2,2,A,4,4.25,0.44,4.21,0.41,4.535,0.844,55,91,207,331.7,39,0.06,40,1.22,3,2,2,a,4 weeks,9-Aug-21,26.2,22.6,24.8,24.5,24.7,47.1
4,1.5,2,A,4,4.91,0.39,5.42,0.28,2.72,0.579,37,105,211,88.9,30,0.04,44,0.46,4,1.5,2,a,4 weeks,9-Aug-21,27.6,26.1,26,23.8,25,49.9
5,2,1,B,4,4.65,0.38,5.29,0.24,3.693,0.793,41,86,120,96.6,27,0.06,35,0.86,1,2,1,b,4 weeks,9-Aug-21,20,21,18.1,21.9,24.5,42.9
6,1.5,1,B,4,5.09,0.69,6.39,0.37,1.809,0.459,56,92,159,29.7,26,0.03,32,0.8,2,1.5,1,b,4 weeks,9-Aug-21,20.4,16.5,17.4,22.6,19.9,39.1
7,2,2,B,4,4.66,0.48,5.8,0.35,3.227,0.688,48,98,183,106.4,34,0.04,48,0.69,3,2,2,b,4 weeks,9-Aug-21,22.1,23.5,23.4,24.4,24.1,47.9
8,1.5,2,B,4,5.04,0.39,5.08,0.16,3.097,0.725,52,68,208,114.6,30,0.05,38,1.36,4,1.5,2,b,4 weeks,9-Aug-21,24.3,23.4,23.5,23.2,23.8,46.6
9,2,1,C,4,4.73,0.49,5.63,0.35,2.809,0.634,66,80,153,105.8,33,0.04,37,0.64,1,2,1,c,4 weeks,9-Aug-21,23,19.1,21.1,20,20.1,39.1
10,1.5,1,C,4,4.47,0.38,5.26,0.33,3.062,0.74,44,90,153,125.9,32,0.04,43,0.78,2,1.5,1,c,4 weeks,9-Aug-21,21.5,20.6,21.2,26.1,23.1,46.7
11,2,2,C,4,4.27,0.32,4.94,0.28,3.377,0.8,70,122,210,140.7,33,0.05,63,0.54,3,2,2,c,4 weeks,9-Aug-21,18.1,22.5,22.1,21.2,21.5,43.7
12,1.5,2,C,4,4.72,0.41,5.66,0.25,2.422,0.613,56,73,184,104.2,29,0.04,23,0.77,4,1.5,2,c,4 weeks,9-Aug-21,23.6,22.5,24,26.1,26.5,48.6
13,2,1,D,4,4.88,0.36,5.48,0.32,2.847,0.707,39,100,131,92.8,28,0.04,50,0.48,1,2,1,d,4 weeks,9-Aug-21,20.1,20.9,22,23.2,22.2,44.1
14,1.5,1,D,4,4.6,0.3,5.85,0.3,2.717,0.663,77,135,170,117.7,31,0.04,94,0.69,2,1.5,1,d,4 weeks,9-Aug-21,17.9,22.5,23.4,20.1,23.1,42.6
15,2,2,D,4,4.72,0.39,5.52,0.31,3.261,0.718,94,90,335,173.8,36,0.04,35,0.64,3,2,2,d,4 weeks,9-Aug-21,24.7,22.6,22.5,26.1,21.9,48.7
16,1.5,2,D,4,4.33,0.32,5.25,0.29,3.321,0.704,35,84,268,150.8,30,0.05,41,0.71,4,1.5,2,d,4 weeks,9-Aug-21,19.9,23.6,22.1,23.9,23.5,47.5
17,2,1,A,8,3.07,0.26,3.3,0.26,3.44,0.651,61,130,380,94.1,36,0.05,44,0.53,1,2,1,a,8 weeks,7-Sep-21,46.2,47.7,47.1,44.5,45.5,85.6
18,1.5,1,A,8,2.85,0.26,3.51,0.25,2.506,0.447,40,65,245,76.3,37,0.05,28,0.02,2,1.5,1,a,8 weeks,7-Sep-21,40,41.2,44.5,47.1,49.8,95
19,2,2,A,8,3.41,0.26,3.54,0.21,1.729,0.386,38,52,284,13.5,29,0.06,14,0.58,3,2,2,a,8 weeks,7-Sep-21,49,49.9,50.2,49.4,48.7,94.2
20,1.5,2,A,8,2.77,0.23,3.21,0.23,2.663,0.531,49,66,407,183.6,37,0.06,41,0.69,4,1.5,2,a,8 weeks,7-Sep-21,45.1,45.5,46.2,48,50.1,99.8
21,2,1,B,8,3.29,0.21,3.28,0.21,2.694,0.543,52,64,239,59.7,36,0.04,36,0.72,1,2,1,b,8 weeks,7-Sep-21,40,44.3,43.3,36.1,37.7,85.8
22,1.5,1,B,8,3.02,0.39,3.84,0.4,2.784,0.431,52,62,354,73.3,42,0.04,42,0.36,2,1.5,1,b,8 weeks,7-Sep-21,47.7,43.5,46.2,41.6,44,78.2
23,2,2,B,8,3.08,0.28,3.84,0.23,1.84,0.374,33,57,331,15.1,33,0.05,24,0.7,3,2,2,b,8 weeks,7-Sep-21,50.3,50.4,49,52.3,51.5,95.8
24,1.5,2,B,8,3.48,0.24,3.06,0.19,2.144,0.432,44,56,244,98.7,33,0.04,38,0.86,4,1.5,2,b,8 weeks,7-Sep-21,30.1,31.8,32.2,33.5,38,93.2
25,2,1,C,8,3.18,0.27,3.53,0.23,2.353,0.426,44,50,284,44,36,0.05,26,0.44,1,2,1,c,8 weeks,7-Sep-21,48.3,49.1,45.9,45.1,39,78.2
26,1.5,1,C,8,2.95,0.17,2.8,0.24,2.527,0.469,58,56,429,38.8,36,0.06,32,0.37,2,1.5,1,c,8 weeks,7-Sep-21,45,50.1,49.7,49.9,47.7,93.4
27,2,2,C,8,2.31,0.19,2.21,0.22,1.849,0.364,57,51,340,55.7,31,0.06,32,0.56,3,2,2,c,8 weeks,7-Sep-21,37,39.2,40,37,40.1,87.4
28,1.5,2,C,8,2.59,0.26,3.4,0.26,3.089,0.539,43,58,363,137.9,37,0.05,46,0.5,4,1.5,2,c,8 weeks,7-Sep-21,51.4,50.8,48.9,50.2,50.5,97.2
29,2,1,D,8,3.36,0.17,3.15,0.23,2.197,0.471,65,60,429,58.7,31,0.05,28,0,1,2,1,d,8 weeks,7-Sep-21,43.3,44.1,43.1,40.1,41.5,88.2
30,1.5,1,D,8,3.3,0.17,3.43,0.23,2.575,0.495,58,76,411,51,37,0.06,32,0.91,2,1.5,1,d,8 weeks,7-Sep-21,45.2,45.3,48.1,50,48.4,85.2
31,2,2,D,8,3.12,0.21,3.57,0.23,2.701,0.488,42,72,382,78.2,36,0.05,34,0.13,3,2,2,d,8 weeks,7-Sep-21,44.1,48.3,50.9,50.1,50.8,97.4
32,1.5,2,D,8,3.18,0.23,2.84,0.29,2.69,0.518,60,64,421,44.1,35,0.06,35,0.43,4,1.5,2,d,8 weeks,7-Sep-21,47.1,45.3,45.2,47.1,46.8,95
33,2,1,A,12,3.04,0.2,3.08,0.23,2.652,0.489,15,60,161,7.9,33,0.1,27,0.34,1,2,1,a,12 weeks,1-Oct-21,52.3,50.1,47.8,49.4,46.3,89.88
34,1.5,1,A,12,1.87,0.17,2.14,0.21,2.431,0.38,18,50,267,17.6,36,0.05,39,0.41,2,1.5,1,a,12 weeks,1-Oct-21,41.5,40.5,52.1,47.6,44.5,91.164
35,2,2,A,12,2.29,0.18,2.86,0.23,2.902,0.486,21,54,311,8.6,39,0.12,33,0.84,3,2,2,a,12 weeks,1-Oct-21,49,54.5,54.9,53.8,56.1,101.175
36,1.5,2,A,12,2.55,0.26,3.04,0.29,2.272,0.414,14,72,166,9.5,35,0.08,43,0.91,4,1.5,2,a,12 weeks,1-Oct-21,53.2,53.3,55.2,46.8,46.3,100.323
37,2,1,B,12,3.31,0.17,3.05,0.25,2.647,0.474,15,72,123,8.3,34,0.04,40,0.17,1,2,1,b,12 weeks,1-Oct-21,38.2,40.1,42,53.1,41.5,106.287
38,1.5,1,B,12,3.24,0.27,3.6,0.26,2.433,0.36,25,58,207,11.9,44,0.06,31,0.6,2,1.5,1,b,12 weeks,1-Oct-21,43,49.3,39.4,46.7,46.9,91.377
39,2,2,B,12,2.68,0.25,3.35,0.26,2.707,0.432,27,73,296,14.2,44,0.07,36,0.69,3,2,2,b,12 weeks,1-Oct-21,51,50.4,49.7,50.1,52.3,83.283
40,1.5,2,B,12,2.72,0.2,2.98,0.28,2.437,0.444,21,67,249,18.5,38,0.06,32,0.96,4,1.5,2,b,12 weeks,1-Oct-21,45.3,45.1,38.3,37.4,40.4,102.027
41,2,1,C,12,2.21,0.18,2.72,0.22,2.905,0.366,26,65,248,11.3,51,0.07,56,0.64,1,2,1,c,12 weeks,1-Oct-21,50,48.7,46.3,47.6,47.3,99.258
42,1.5,1,C,12,2.42,0.17,2.13,0.26,2.585,0.439,23,62,246,11.9,43,0.07,36,0.26,2,1.5,1,c,12 weeks,1-Oct-21,42.3,43.5,46,50.3,48.3,83.283
43,2,2,C,12,2.55,0.28,2.74,0.34,2.542,0.322,20,56,135,16.4,48,0.06,58,1.14,3,2,2,c,12 weeks,1-Oct-21,43.8,44.5,37.8,41.2,35.3,99.471
44,1.5,2,C,12,2.61,0.24,2.75,0.29,3.1,0.46,16,46,254,11.7,52,0.14,33,0.68,4,1.5,2,c,12 weeks,1-Oct-21,56,56.8,54.3,53.3,53.8,93.081
45,2,1,D,12,2.89,0.21,2.96,0.25,2.994,0.555,41,71,349,71.7,37,0.05,58,0.59,1,2,1,d,12 weeks,1-Oct-21,40,39.7,43.1,42,42.7,103.518
46,1.5,1,D,12,2.43,0.19,3.09,0.23,2.836,0.502,41,54,323,46.2,40,0.07,30,0.28,2,1.5,1,d,12 weeks,1-Oct-21,54.8,46.7,48.3,52.2,43.3,93.933
47,2,2,D,12,3.28,0.23,3.7,0.22,2.503,0.481,19,67,185,11,31,0.12,22,0.66,3,2,2,d,12 weeks,1-Oct-21,57.1,54.4,57.3,48.2,45.1,90.738
48,1.5,2,D,12,2.81,0.24,3.12,0.29,2.582,0.491,12,83,141,11.3,37,0.14,84,0.45,4,1.5,2,d,12 weeks,1-Oct-21,45.7,46.1,50.3,49.8,49.5,103.731
49,2,1,A,4,4.79,0.53,5.7,0.36,2.605,0.627,59,85,102,100.2,30,0.03,51,1.12,1,2,1,a,4 weeks,9-Aug-21,18.2,19.7,20.6,23.1,19,41.944
50,1.5,1,A,4,4.21,0.36,5.72,0.25,2.792,0.773,49,67,179,128,27,0.05,20,0.7,2,1.5,1,a,4 weeks,9-Aug-21,23.5,23.1,20.9,24.4,27.1,46.55
51,2,2,A,4,4.25,0.44,4.21,0.41,4.535,0.844,55,91,207,331.7,39,0.06,40,1.22,3,2,2,a,4 weeks,9-Aug-21,26.2,22.6,24.8,24.5,24.7,46.158
52,1.5,2,A,4,4.91,0.39,5.42,0.28,2.72,0.579,37,105,211,88.9,30,0.04,44,0.46,4,1.5,2,a,4 weeks,9-Aug-21,27.6,26.1,26,23.8,25,48.902
53,2,1,B,4,4.65,0.38,5.29,0.24,3.693,0.793,41,86,120,96.6,27,0.06,35,0.86,1,2,1,b,4 weeks,9-Aug-21,20,21,18.1,21.9,24.5,42.042
54,1.5,1,B,4,5.09,0.69,6.39,0.37,1.809,0.459,56,92,159,29.7,26,0.03,32,0.8,2,1.5,1,b,4 weeks,9-Aug-21,20.4,16.5,17.4,22.6,19.9,38.318
55,2,2,B,4,4.66,0.48,5.8,0.35,3.227,0.688,48,98,183,106.4,34,0.04,48,0.69,3,2,2,b,4 weeks,9-Aug-21,22.1,23.5,23.4,24.4,24.1,46.942
56,1.5,2,B,4,5.04,0.39,5.08,0.16,3.097,0.725,52,68,208,114.6,30,0.05,38,1.36,4,1.5,2,b,4 weeks,9-Aug-21,24.3,23.4,23.5,23.2,23.8,45.668
57,2,1,C,4,4.73,0.49,5.63,0.35,2.809,0.634,66,80,153,105.8,33,0.04,37,0.64,1,2,1,c,4 weeks,9-Aug-21,23,19.1,21.1,20,20.1,38.318
58,1.5,1,C,4,4.47,0.38,5.26,0.33,3.062,0.74,44,90,153,125.9,32,0.04,43,0.78,2,1.5,1,c,4 weeks,9-Aug-21,21.5,20.6,21.2,26.1,23.1,45.766
59,2,2,C,4,4.27,0.32,4.94,0.28,3.377,0.8,70,122,210,140.7,33,0.05,63,0.54,3,2,2,c,4 weeks,9-Aug-21,18.1,22.5,22.1,21.2,21.5,42.826
60,1.5,2,C,4,4.72,0.41,5.66,0.25,2.422,0.613,56,73,184,104.2,29,0.04,23,0.77,4,1.5,2,c,4 weeks,9-Aug-21,23.6,22.5,24,26.1,26.5,47.628
61,2,1,D,4,4.88,0.36,5.48,0.32,2.847,0.707,39,100,131,92.8,28,0.04,50,0.48,1,2,1,d,4 weeks,9-Aug-21,20.1,20.9,22,23.2,22.2,43.218
62,1.5,1,D,4,4.6,0.3,5.85,0.3,2.717,0.663,77,135,170,117.7,31,0.04,94,0.69,2,1.5,1,d,4 weeks,9-Aug-21,17.9,22.5,23.4,20.1,23.1,41.748
63,2,2,D,4,4.72,0.39,5.52,0.31,3.261,0.718,94,90,335,173.8,36,0.04,35,0.64,3,2,2,d,4 weeks,9-Aug-21,24.7,22.6,22.5,26.1,21.9,47.726
64,1.5,2,D,4,4.33,0.32,5.25,0.29,3.321,0.704,35,84,268,150.8,30,0.05,41,0.71,4,1.5,2,d,4 weeks,9-Aug-21,19.9,23.6,22.1,23.9,23.5,46.55
65,2,1,A,8,3.07,0.26,3.3,0.26,3.44,0.651,61,130,380,94.1,36,0.05,44,0.53,1,2,1,a,8 weeks,7-Sep-21,46.2,47.7,47.1,44.5,45.5,87.1973816
66,1.5,1,A,8,2.85,0.26,3.51,0.25,2.506,0.447,40,65,245,76.3,37,0.05,28,0.02,2,1.5,1,a,8 weeks,7-Sep-21,40,41.2,44.5,47.1,49.8,96.772795
67,2,2,A,8,3.41,0.26,3.54,0.21,1.729,0.386,38,52,284,13.5,29,0.06,14,0.58,3,2,2,a,8 weeks,7-Sep-21,49,49.9,50.2,49.4,48.7,95.9578662
68,1.5,2,A,8,2.77,0.23,3.21,0.23,2.663,0.531,49,66,407,183.6,37,0.06,41,0.69,4,1.5,2,a,8 weeks,7-Sep-21,45.1,45.5,46.2,48,50.1,101.6623678
69,2,1,B,8,3.29,0.21,3.28,0.21,2.694,0.543,52,64,239,59.7,36,0.04,36,0.72,1,2,1,b,8 weeks,7-Sep-21,40,44.3,43.3,36.1,37.7,87.4011138
70,1.5,1,B,8,3.02,0.39,3.84,0.4,2.784,0.431,52,62,354,73.3,42,0.04,42,0.36,2,1.5,1,b,8 weeks,7-Sep-21,47.7,43.5,46.2,41.6,44,79.6592902
71,2,2,B,8,3.08,0.28,3.84,0.23,1.84,0.374,33,57,331,15.1,33,0.05,24,0.7,3,2,2,b,8 weeks,7-Sep-21,50.3,50.4,49,52.3,51.5,97.5877238
72,1.5,2,B,8,3.48,0.24,3.06,0.19,2.144,0.432,44,56,244,98.7,33,0.04,38,0.86,4,1.5,2,b,8 weeks,7-Sep-21,30.1,31.8,32.2,33.5,38,94.9392052
73,2,1,C,8,3.18,0.27,3.53,0.23,2.353,0.426,44,50,284,44,36,0.05,26,0.44,1,2,1,c,8 weeks,7-Sep-21,48.3,49.1,45.9,45.1,39,79.6592902
74,1.5,1,C,8,2.95,0.17,2.8,0.24,2.527,0.469,58,56,429,38.8,36,0.06,32,0.37,2,1.5,1,c,8 weeks,7-Sep-21,45,50.1,49.7,49.9,47.7,95.1429374
75,2,2,C,8,2.31,0.19,2.21,0.22,1.849,0.364,57,51,340,55.7,31,0.06,32,0.56,3,2,2,c,8 weeks,7-Sep-21,37,39.2,40,37,40.1,89.0309714
76,1.5,2,C,8,2.59,0.26,3.4,0.26,3.089,0.539,43,58,363,137.9,37,0.05,46,0.5,4,1.5,2,c,8 weeks,7-Sep-21,51.4,50.8,48.9,50.2,50.5,99.0138492
77,2,1,D,8,3.36,0.17,3.15,0.23,2.197,0.471,65,60,429,58.7,31,0.05,28,0,1,2,1,d,8 weeks,7-Sep-21,43.3,44.1,43.1,40.1,41.5,89.8459002
78,1.5,1,D,8,3.3,0.17,3.43,0.23,2.575,0.495,58,76,411,51,37,0.06,32,0.91,2,1.5,1,d,8 weeks,7-Sep-21,45.2,45.3,48.1,50,48.4,86.7899172
79,2,2,D,8,3.12,0.21,3.57,0.23,2.701,0.488,42,72,382,78.2,36,0.05,34,0.13,3,2,2,d,8 weeks,7-Sep-21,44.1,48.3,50.9,50.1,50.8,99.2175814
80,1.5,2,D,8,3.18,0.23,2.84,0.29,2.69,0.518,60,64,421,44.1,35,0.06,35,0.43,4,1.5,2,d,8 weeks,7-Sep-21,47.1,45.3,45.2,47.1,46.8,96.772795
81,2,1,A,12,3.04,0.2,3.08,0.23,2.652,0.489,15,60,161,7.9,33,0.1,27,0.34,1,2,1,a,12 weeks,1-Oct-21,52.3,50.1,47.8,49.4,46.3,91.3566
82,1.5,1,A,12,1.87,0.17,2.14,0.21,2.431,0.38,18,50,267,17.6,36,0.05,39,0.41,2,1.5,1,a,12 weeks,1-Oct-21,41.5,40.5,52.1,47.6,44.5,101.38875
83,2,2,A,12,2.29,0.18,2.86,0.23,2.902,0.486,21,54,311,8.6,39,0.12,33,0.84,3,2,2,a,12 weeks,1-Oct-21,49,54.5,54.9,53.8,56.1,100.53495
84,1.5,2,A,12,2.55,0.26,3.04,0.29,2.272,0.414,14,72,166,9.5,35,0.08,43,0.91,4,1.5,2,a,12 weeks,1-Oct-21,53.2,53.3,55.2,46.8,46.3,106.51155
85,2,1,B,12,3.31,0.17,3.05,0.25,2.647,0.474,15,72,123,8.3,34,0.04,40,0.17,1,2,1,b,12 weeks,1-Oct-21,38.2,40.1,42,53.1,41.5,91.57005
86,1.5,1,B,12,3.24,0.27,3.6,0.26,2.433,0.36,25,58,207,11.9,44,0.06,31,0.6,2,1.5,1,b,12 weeks,1-Oct-21,43,49.3,39.4,46.7,46.9,83.45895
87,2,2,B,12,2.68,0.25,3.35,0.26,2.707,0.432,27,73,296,14.2,44,0.07,36,0.69,3,2,2,b,12 weeks,1-Oct-21,51,50.4,49.7,50.1,52.3,102.24255
88,1.5,2,B,12,2.72,0.2,2.98,0.28,2.437,0.444,21,67,249,18.5,38,0.06,32,0.96,4,1.5,2,b,12 weeks,1-Oct-21,45.3,45.1,38.3,37.4,40.4,99.4677
89,2,1,C,12,2.21,0.18,2.72,0.22,2.905,0.366,26,65,248,11.3,51,0.07,56,0.64,1,2,1,c,12 weeks,1-Oct-21,50,48.7,46.3,47.6,47.3,83.45895
90,1.5,1,C,12,2.42,0.17,2.13,0.26,2.585,0.439,23,62,246,11.9,43,0.07,36,0.26,2,1.5,1,c,12 weeks,1-Oct-21,42.3,43.5,46,50.3,48.3,99.68115
91,2,2,C,12,2.55,0.28,2.74,0.34,2.542,0.322,20,56,135,16.4,48,0.06,58,1.14,3,2,2,c,12 weeks,1-Oct-21,43.8,44.5,37.8,41.2,35.3,93.27765
92,1.5,2,C,12,2.61,0.24,2.75,0.29,3.1,0.46,16,46,254,11.7,52,0.14,33,0.68,4,1.5,2,c,12 weeks,1-Oct-21,56,56.8,54.3,53.3,53.8,103.7367
93,2,1,D,12,2.89,0.21,2.96,0.25,2.994,0.555,41,71,349,71.7,37,0.05,58,0.59,1,2,1,d,12 weeks,1-Oct-21,40,39.7,43.1,42,42.7,94.13145
94,1.5,1,D,12,2.43,0.19,3.09,0.23,2.836,0.502,41,54,323,46.2,40,0.07,30,0.28,2,1.5,1,d,12 weeks,1-Oct-21,54.8,46.7,48.3,52.2,43.3,90.9297
95,2,2,D,12,3.28,0.23,3.7,0.22,2.503,0.481,19,67,185,11,31,0.12,22,0.66,3,2,2,d,12 weeks,1-Oct-21,57.1,54.4,57.3,48.2,45.1,103.95015
96,1.5,2,D,12,2.81,0.24,3.12,0.29,2.582,0.491,12,83,141,11.3,37,0.14,84,0.45,3,2,2,d,12 weeks,1-Oct-21,57.1,54.4,57.3,48.2,45.1,103.95015
